artist_id,artist_name,nb_album,nb_fan,fan_band
1653,Iron & Wine,40,108869,50K-500K
1668,Soft Cell,74,363333,50K-500K
1695,Tegan and Sara,56,85096,50K-500K
1723,Jefferson Airplane,26,219761,50K-500K
1743,The B-52's,26,100832,50K-500K
1760,Toni Braxton,37,934703,500K-5M
1785,Grateful Dead,242,135801,50K-500K
1878,Prince,93,1365068,500K-5M
1893,Rita Lee,43,976385,500K-5M
1903,Europe,25,857575,500K-5M
1918,Bebel Gilberto,24,43074,1K-50K
1968,Vinicius de Moraes,6,277898,50K-500K
1981,The Police,19,3321919,500K-5M
1999,Sufjan Stevens,57,269866,50K-500K
2025,Cyndi Lauper,36,1048493,500K-5M
2027,Curtis Mayfield,47,204861,50K-500K
2044,Tosca,57,29822,1K-50K
2056,Erykah Badu,29,425369,50K-500K
2075,Semisonic,20,38133,1K-50K
2077,Gilberto Gil,155,939534,500K-5M
2105,Canned Heat,33,231090,50K-500K
2108,Bonobo,57,364862,50K-500K
2110,Tom Petty and the Heartbreakers,45,233097,50K-500K
2111,Billy Idol,41,605426,500K-5M
2118,Danzig,6,89760,50K-500K
2159,Pat Benatar,18,104818,50K-500K
2245,Thomas Newman,71,232880,50K-500K
2252,The Gladiators,16,290665,50K-500K
2281,Bob Seger & The Silver Bullet Band,12,26347,1K-50K
2320,Israel Vibration,28,274771,50K-500K
2325,Burning Spear,16,445003,50K-500K
2326,Peter Tosh,23,710451,500K-5M
2327,Barrington Levy,47,340576,50K-500K
2360,Rose Royce,16,32711,1K-50K
2361,Soul II Soul,28,43466,1K-50K
2364,Heavy D & The Boyz,10,9718,1K-50K
2369,Al Green,39,444647,50K-500K
2374,Lucy Pearl,0,13712,1K-50K
2380,SWV,12,161494,50K-500K
2397,Sister Sledge,20,152174,50K-500K
2398,Maze,17,41934,1K-50K
2425,Jimmy Cliff,28,1037311,500K-5M
2451,Bobby Womack,33,114431,50K-500K
2468,Creedence Clearwater Revival,20,1594608,500K-5M
2473,Third Eye Blind,44,73389,50K-500K
2483,The Black Keys,52,1096798,500K-5M
2489,New Radicals,3,30519,1K-50K
2523,Bone Thugs-N-Harmony,34,332605,50K-500K
2542,House of Pain,8,160695,50K-500K
2557,Def Leppard,58,891627,500K-5M
2562,Dr. Hook,13,15033,1K-50K
2579,DJ Jazzy Jeff & The Fresh Prince,10,36783,1K-50K
2620,Ray J,85,17317,1K-50K
2649,Jermaine Dupri,24,39688,1K-50K
2666,Galt MacDermot,78,7769,1K-50K
2681,Leonard Bernstein,365,241908,50K-500K
2706,Gary Numan,108,32027,1K-50K
2711,Yes,85,312804,50K-500K
2764,The Heptones,58,25436,1K-50K
2789,Ricky Martin,68,2216065,500K-5M
2792,Enrique Iglesias,93,5956711,Over 5M
2833,Chuck Berry,29,731472,500K-5M
2887,The Proclaimers,26,26841,1K-50K
2945,Otis Redding,39,1038639,500K-5M
2969,Pantera,15,1618145,500K-5M
3004,Twisted Sister,3,374683,50K-500K
3019,Skid Row,23,445146,50K-500K
3106,a-ha,43,1173199,500K-5M
3109,Vanilla Ice,20,54169,50K-500K
3120,Robert Johnson,6,348036,50K-500K
3132,Everclear,29,18816,1K-50K
3156,Cher,88,562197,500K-5M
3183,Culture Club,33,208279,50K-500K
3214,Caifanes,11,857481,500K-5M
3239,Bobby Darin,48,95165,50K-500K
3240,Sixpence None the Richer,26,107327,50K-500K
3351,Steve Miller Band,33,100462,50K-500K
3381,Journey,28,661945,500K-5M
3427,Winger,17,26705,1K-50K
3438,Blind Melon,14,96220,50K-500K
3469,Sia,161,8712706,Over 5M
3487,Megadeth,47,1797765,500K-5M
3499,Freestylers,81,29200,1K-50K
3509,The Band,36,72609,50K-500K
3517,Citizen King,2,690,Under 1K
3604,The Abyssinians,14,26310,1K-50K
3606,Yellowman,30,40588,1K-50K
3614,B.B. King,55,1704347,500K-5M
3839,Daddy Yankee,113,7161031,Over 5M
3847,Axwell,78,625142,500K-5M
3853,Milky,12,1642,1K-50K
3855,Kenny Loggins,23,111993,50K-500K
3998,Matthew West,90,65909,50K-500K
4085,Antônio Carlos Jobim,43,570383,500K-5M
4091,Susan Tedeschi,12,24428,1K-50K
4123,"Grover Washington, Jr.",33,81179,50K-500K
4192,Albert King,38,252997,50K-500K
4312,Las Ketchup,8,28998,1K-50K
4331,Ludovico Einaudi,145,1447152,500K-5M
4345,Soda Stereo,24,1773517,500K-5M
4370,Anita Baker,9,206874,50K-500K
4386,Squeeze,33,15293,1K-50K
4388,Carrie Underwood,40,516547,500K-5M
4418,Taj Mahal,64,93534,50K-500K
4435,Stone Temple Pilots,16,606069,500K-5M
4492,Ronny Jordan,11,9786,1K-50K
4511,Desmond Dekker,23,63025,50K-500K
4576,Kaskade,251,172099,50K-500K
4660,The Knack,5,11315,1K-50K
